filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,line_range,more_info

detr-main\d2\detr\dataset_mapper.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30,8,[30],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\d2\detr\detr.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,8,[48],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\d2\detr\detr.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,55,8,[55],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\d2\detr\detr.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,230,8,[230],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\datasets\coco.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,149,4,[149],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\datasets\coco_eval.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,8,[24],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\datasets\coco_panoptic.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,16,[26],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\datasets\coco_panoptic.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,83,4,[83],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\datasets\coco_panoptic.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,84,4,[84],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\datasets\transforms.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,163,12,[163],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random

detr-main\datasets\transforms.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,164,12,[164],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random

detr-main\datasets\transforms.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,186,11,[186],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random

detr-main\datasets\transforms.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,193,8,[193],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\datasets\transforms.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,198,15,[198],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random

detr-main\datasets\transforms.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,207,16,[207],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random

detr-main\datasets\transforms.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,208,16,[208],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random

detr-main\datasets\transforms.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,223,11,[223],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random

detr-main\main.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,110,8,[110],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\backbone.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,77,12,[77],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\detr.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,8,[64],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\detr.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,112,8,[112],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\detr.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,148,8,[148],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\detr.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,168,8,"[168, 169]",https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\detr.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,212,8,[212],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

